epoch,train_loss,train_acc,val_loss,val_acc
1,0.6482585647427443,0.6351950354609929,0.5798782673146989,0.7256944444444444
2,0.608265719515212,0.68927304964539,0.6091863082514869,0.7395833333333334
3,0.6096240320104234,0.6759751773049646,0.548750552866194,0.7361111111111112
4,0.5745183715583585,0.7074468085106383,0.5601017773151398,0.7569444444444444
5,0.5724558329328577,0.711436170212766,0.5453551312287649,0.7743055555555556
6,0.5450614995144784,0.7406914893617021,0.4983287586106194,0.7326388888888888
7,0.533027782085094,0.7406914893617021,0.5253237817022536,0.8020833333333334
8,0.5147921510622011,0.7646276595744681,0.48153186175558305,0.78125
9,0.4846178952683794,0.7779255319148937,0.4413755502965715,0.7847222222222222
10,0.49992810242564967,0.7770390070921985,0.4948328369193607,0.7465277777777778
11,0.4963515908160108,0.7779255319148937,0.44607742296324837,0.84375
12,0.4670908766012665,0.8062943262411347,0.4037988583246867,0.8368055555555556
13,0.45008911350940134,0.81427304964539,0.39224742187394035,0.7777777777777778
14,0.44031129851408884,0.8226950354609929,0.4187634156809913,0.8159722222222222
15,0.4324553674417185,0.8297872340425532,0.36937108801470864,0.8333333333333334
16,0.42316343556059166,0.8280141843971631,0.37801216542720795,0.8576388888888888
17,0.4277163552688369,0.8315602836879432,0.37339313742187286,0.8854166666666666
18,0.4047613559251136,0.8395390070921985,0.3607562399572796,0.8715277777777778
19,0.3889643672510242,0.8523936170212766,0.32322761913140613,0.8888888888888888
20,0.3914009541907209,0.8466312056737588,0.36878537469440037,0.8784722222222222
21,0.36501866071782213,0.875886524822695,0.3163940409819285,0.90625
22,0.3745492138761155,0.8603723404255319,0.32086853351857925,0.8784722222222222
23,0.38631550375874163,0.8599290780141844,0.3967467397451401,0.8472222222222222
24,0.3725305495532692,0.8572695035460993,0.3105225943856769,0.8888888888888888
25,0.3416093496988851,0.8745567375886525,0.31376802755726707,0.8923611111111112
26,0.3409792348636803,0.8772163120567376,0.33511839393112397,0.9027777777777778
27,0.3672899250865828,0.8710106382978723,0.3421824839380052,0.8055555555555556
28,0.34424895999279426,0.8763297872340425,0.31095847321881187,0.8645833333333334
29,0.3347577673534975,0.8847517730496454,0.27156832151942784,0.8993055555555556
30,0.33483897477177016,0.8816489361702128,0.3214546839396159,0.8958333333333334
31,0.32623455430387605,0.8851950354609929,0.3033471041255527,0.9097222222222222
32,0.3221872319989171,0.886968085106383,0.35164211069544155,0.9097222222222222
33,0.32762187507981105,0.8891843971631206,0.28654281629456413,0.9131944444444444
34,0.3242483647368478,0.8820921985815603,0.27372152772214675,0.9166666666666666
35,0.3103469450634422,0.8900709219858156,0.44450669383837116,0.8854166666666666
36,0.3422284506736918,0.8914007092198581,0.2953003885017501,0.90625
37,0.3195258614653391,0.8931737588652482,0.2468280875020557,0.9131944444444444
38,0.3000108317491856,0.9051418439716312,0.28347454427017105,0.9236111111111112
39,0.28945044042370843,0.899822695035461,0.2777259473999341,0.9270833333333334
40,0.28830325656326106,0.900709219858156,0.2785321685175101,0.9027777777777778
41,0.3039960079159297,0.8958333333333334,0.23211083105868763,0.90625
42,0.2928871998550199,0.8971631205673759,0.31939614729748833,0.8819444444444444
43,0.2969620151722685,0.9060283687943262,0.2592926054365105,0.9201388888888888
44,0.2876145601906675,0.899822695035461,0.25814302307036185,0.8923611111111112
45,0.2923732851202606,0.8984929078014184,0.24737544771697786,0.9027777777777778
46,0.27983069652361225,0.9086879432624113,0.2696589388781124,0.8645833333333334
47,0.25152366867302156,0.9144503546099291,0.2569236604289876,0.9305555555555556
48,0.2604328545061409,0.9122340425531915,0.21231512559784782,0.9270833333333334
49,0.25113573353341284,0.9166666666666666,0.213121441917287,0.9305555555555556
50,0.24815427908237944,0.913563829787234,0.2095819144613213,0.9340277777777778
51,0.2533123162409938,0.9206560283687943,0.20005999795264667,0.9375
52,0.2648018069089727,0.911790780141844,0.21021057003074223,0.9409722222222222
53,0.23366232691927158,0.9206560283687943,0.22586141319738495,0.9340277777777778
54,0.22826724716112123,0.9237588652482269,0.2006756199730767,0.9270833333333334
55,0.23079499665727007,0.9219858156028369,0.23954053026520544,0.9375
56,0.24040599827859419,0.9237588652482269,0.18395403317279285,0.9340277777777778
57,0.2819693704657521,0.9011524822695035,0.2135156649682257,0.9409722222222222
58,0.25511392644533876,0.9144503546099291,0.21687071273724237,0.8993055555555556
59,0.2348856032423094,0.9171099290780141,0.20304547333055073,0.9340277777777778
60,0.2412396453796549,0.9184397163120568,0.21591907284326023,0.8888888888888888
