,precision,recall,f1-score,support
sound,0.9874421678783873,0.9933510638297872,0.9903878024527677,1504.0
damaged,0.9865410497981157,0.9747340425531915,0.9806020066889632,752.0
accuracy,0.987145390070922,0.987145390070922,0.987145390070922,0.987145390070922
macro avg,0.9869916088382515,0.9840425531914894,0.9854949045708654,2256.0
weighted avg,0.9871417951849636,0.987145390070922,0.9871258705314995,2256.0
