split,timepoint,n,true_negative,false_positive,false_negative,true_positive,n_true_positive_samples,n_predicted_positive_samples,accuracy,precision,recall,f1
train,t0,752,749,3,0,0,0,3,0.996,0.0,0.0,0.0
train,t1,752,372,4,15,361,376,365,0.9747,0.989,0.9601,0.9744
train,t3,752,373,3,4,372,376,375,0.9907,0.992,0.9894,0.9907
val,t0,96,95,1,0,0,0,1,0.9896,0.0,0.0,0.0
val,t1,96,48,0,5,43,48,43,0.9479,1.0,0.8958,0.9451
val,t3,96,48,0,3,45,48,45,0.9688,1.0,0.9375,0.9677
test,t0,96,95,1,0,0,0,1,0.9896,0.0,0.0,0.0
test,t1,96,47,1,7,41,48,42,0.9167,0.9762,0.8542,0.9111
test,t3,96,46,2,6,42,48,44,0.9167,0.9545,0.875,0.913
