,precision,recall,f1-score,support
sound,0.944371727748691,0.9594414893617021,0.9518469656992085,1504.0
damaged,0.9162087912087912,0.886968085106383,0.9013513513513514,752.0
accuracy,0.9352836879432624,0.9352836879432624,0.9352836879432624,0.9352836879432624
macro avg,0.9302902594787411,0.9232047872340425,0.92659915852528,2256.0
weighted avg,0.934984082235391,0.9352836879432624,0.9350150942499227,2256.0
