,precision,recall,f1-score,support
sound,0.9505980239209568,0.9723404255319149,0.9613463055482514,1880.0
damaged,0.9520737327188941,0.9157801418439716,0.9335743334839585,1128.0
accuracy,0.9511303191489362,0.9511303191489362,0.9511303191489362,0.9511303191489362
macro avg,0.9513358783199255,0.9440602836879433,0.9474603195161049,3008.0
weighted avg,0.9511514147201832,0.9511303191489362,0.9509318160241416,3008.0
