,precision,recall,f1-score,support
sound,0.9716981132075472,0.9861702127659574,0.9788806758183738,1880.0
damaged,0.9763636363636363,0.9521276595744681,0.9640933572710951,1128.0
accuracy,0.973404255319149,0.973404255319149,0.973404255319149,0.973404255319149
macro avg,0.9740308747855917,0.9691489361702128,0.9714870165447345,3008.0
weighted avg,0.9734476843910806,0.973404255319149,0.9733354313631444,3008.0
