model,kernel,components,raw_features,svm_features,val_accuracy,test_accuracy
flattened crop PCA-pixels+SVM,rbf,8,800,800,0.9271,0.9505
flattened crop PCA-pixels+SVM,rbf,10,1000,1000,0.9245,0.9427
flattened crop PCA-pixels+SVM,rbf,6,600,600,0.9219,0.9427
mean spectrum PCA+SVM,rbf,6,220,6,0.8802,0.9141
mean spectrum PCA+SVM,rbf,8,220,8,0.8802,0.9167
mean spectrum PCA+SVM,rbf,10,220,10,0.8802,0.9167
flattened crop PCA-pixels+SVM,rbf,3,300,300,0.8698,0.9245
mean spectrum PCA+SVM,rbf,3,220,3,0.8307,0.8984
flattened crop PCA-pixels+SVM,poly,8,800,800,0.8151,0.9115
mean spectrum PCA+SVM,linear,10,220,10,0.8125,0.8255
flattened crop PCA-pixels+SVM,poly,6,600,600,0.8073,0.8984
flattened crop PCA-pixels+SVM,poly,10,1000,1000,0.8073,0.9062
mean spectrum PCA+SVM,linear,6,220,6,0.7917,0.8255
mean spectrum PCA+SVM,linear,8,220,8,0.7891,0.8203
flattened crop PCA-pixels+SVM,linear,6,600,600,0.7812,0.7891
flattened crop PCA-pixels+SVM,linear,10,1000,1000,0.7734,0.7839
flattened crop PCA-pixels+SVM,linear,8,800,800,0.7604,0.7708
flattened crop PCA-pixels+SVM,poly,3,300,300,0.7448,0.8333
mean spectrum PCA+SVM,linear,3,220,3,0.724,0.8203
mean spectrum PCA+SVM,poly,8,220,8,0.7161,0.8073
flattened crop PCA-pixels+SVM,linear,3,300,300,0.7161,0.8073
mean spectrum PCA+SVM,poly,10,220,10,0.7109,0.8073
mean spectrum PCA+SVM,poly,6,220,6,0.7083,0.8073
mean spectrum PCA+SVM,poly,3,220,3,0.6953,0.7943
flattened crop PCA-pixels+SVM,sigmoid,10,1000,1000,0.6875,0.6745
flattened crop PCA-pixels+SVM,sigmoid,8,800,800,0.6771,0.6615
flattened crop PCA-pixels+SVM,sigmoid,6,600,600,0.638,0.6458
mean spectrum PCA+SVM,sigmoid,6,220,6,0.5833,0.6562
mean spectrum PCA+SVM,sigmoid,8,220,8,0.5833,0.6562
mean spectrum PCA+SVM,sigmoid,10,220,10,0.5833,0.6562
mean spectrum PCA+SVM,sigmoid,3,220,3,0.5807,0.651
flattened crop PCA-pixels+SVM,sigmoid,3,300,300,0.5469,0.612
