epoch,train_loss,train_acc,val_loss,val_acc
1,0.61775360018649,0.6652260638297872,0.6233881513277689,0.6614583333333334
2,0.5947821891688286,0.7091090425531915,0.6238172526160876,0.6770833333333334
3,0.5761932813106699,0.7210771276595744,0.6075665255387624,0.6901041666666666
4,0.5563329673827963,0.7473404255319149,0.6454236259063085,0.7057291666666666
5,0.5437248615508384,0.7509973404255319,0.5978648190697035,0.6979166666666666
6,0.5282772338770806,0.7523271276595744,0.5936743368705114,0.71875
7,0.5133368208053264,0.7746010638297872,0.5750077615181605,0.703125
8,0.5126319464216841,0.7629654255319149,0.5751621425151825,0.7369791666666666
9,0.5011344469608144,0.7689494680851063,0.5917234470446905,0.7395833333333334
10,0.4801976886835504,0.7892287234042553,0.5548078442613283,0.7083333333333334
11,0.4694004794384571,0.7975398936170213,0.5464860051870346,0.7473958333333334
12,0.4539572336572282,0.8031914893617021,0.585699605445067,0.7526041666666666
13,0.4389374707924559,0.8091755319148937,0.542821024854978,0.7473958333333334
14,0.43163202068907147,0.8211436170212766,0.5705931608875593,0.7213541666666666
15,0.4416105845507155,0.8071808510638298,0.6224699964125952,0.7421875
16,0.43546105287176495,0.8138297872340425,0.5356496423482895,0.7473958333333334
17,0.42833209164599156,0.828125,0.5446026089290777,0.734375
18,0.41192470839683043,0.831781914893617,0.5725935598214468,0.7395833333333334
19,0.4221094285554074,0.8191489361702128,0.5331068063775698,0.7682291666666666
20,0.4116731736254185,0.8334441489361702,0.5230675538380941,0.7395833333333334
21,0.41131929260619143,0.8277925531914894,0.5040880317489306,0.75
22,0.3962556372614617,0.8297872340425532,0.5843055844306946,0.7630208333333334
23,0.3950732370957415,0.8377659574468085,0.5293103344738483,0.7604166666666666
24,0.38397020989275993,0.8434175531914894,0.6003489419817924,0.7786458333333334
25,0.3896135538816452,0.8371010638297872,0.5168332867324352,0.765625
26,0.377693735063076,0.854720744680851,0.5195518992841244,0.7473958333333334
27,0.3767570047936541,0.8503989361702128,0.5143512537082037,0.7630208333333334
28,0.36712214223881984,0.8540558510638298,0.5455079413950443,0.7786458333333334
29,0.3788385088456438,0.8450797872340425,0.4856675739089648,0.7578125
30,0.3622287486461883,0.8560505319148937,0.5241792711118857,0.7942708333333334
31,0.3775923399532095,0.8550531914893617,0.4961451056102912,0.78125
32,0.3739186515833469,0.8533909574468085,0.49886391311883926,0.7604166666666666
33,0.35985513300971783,0.8587101063829787,0.5092443923155466,0.7864583333333334
34,0.34907504527809774,0.8617021276595744,0.545335008452336,0.7864583333333334
35,0.3476932246951347,0.8670212765957447,0.4598919289807479,0.7734375
36,0.35452606402179027,0.8650265957446809,0.4867689721286297,0.7682291666666666
37,0.348702480025748,0.8626994680851063,0.5602406958738962,0.7734375
38,0.3551422826787259,0.8567154255319149,0.46469637627402943,0.7838541666666666
39,0.3357917918486798,0.870345744680851,0.5303696741660436,0.7890625
40,0.3355736085709105,0.8746675531914894,0.5181414919594923,0.8307291666666666
41,0.3416529283561605,0.8683510638297872,0.47583935285607976,0.7994791666666666
42,0.347882497659389,0.8736702127659575,0.6015757471323013,0.7864583333333334
43,0.33269808821855706,0.870345744680851,0.506354403992494,0.8098958333333334
44,0.3306006244680983,0.8763297872340425,0.4731296934187412,0.8072916666666666
45,0.3317994632302447,0.8769946808510638,0.49590694283445674,0.8229166666666666
46,0.33644096394802664,0.8736702127659575,0.5273083560168743,0.8098958333333334
47,0.32412397417616334,0.8769946808510638,0.4696306586265564,0.8229166666666666
48,0.33181823377913616,0.8826462765957447,0.46970216805736226,0.7916666666666666
49,0.32505130989754455,0.8759973404255319,0.4741211123764515,0.7890625
50,0.32904891653897916,0.8819813829787234,0.4577614205578963,0.796875
